data,feriado,tipo,weekday,data_coleta
2026-01-01,Confraternização mundial,national,quinta-feira,2026-07-29 18:22:19.480963
2026-02-17,Carnaval,national,terça-feira,2026-07-29 18:22:19.480963
2026-04-03,Sexta-feira Santa,national,sexta-feira,2026-07-29 18:22:19.480963
2026-04-05,Páscoa,national,domingo,2026-07-29 18:22:19.480963
2026-04-21,Tiradentes,national,terça-feira,2026-07-29 18:22:19.480963
2026-05-01,Dia do trabalho,national,sexta-feira,2026-07-29 18:22:19.480963
2026-06-04,Corpus Christi,national,quinta-feira,2026-07-29 18:22:19.480963
2026-09-07,Independência do Brasil,national,segunda-feira,2026-07-29 18:22:19.480963
2026-10-12,Nossa Senhora Aparecida,national,segunda-feira,2026-07-29 18:22:19.480963
2026-11-02,Finados,national,segunda-feira,2026-07-29 18:22:19.480963
2026-11-15,Proclamação da República,national,domingo,2026-07-29 18:22:19.480963
2026-11-20,Dia da consciência negra,national,sexta-feira,2026-07-29 18:22:19.480963
2026-12-25,Natal,national,sexta-feira,2026-07-29 18:22:19.480963
