data_coleta,produto,categoria,marca,preco,avaliacao,estoque,origem
2026-07-30 15:02:04.643686,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:02:04.643686,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:02:04.643686,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:02:04.643686,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:02:04.643686,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:02:04.643686,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:02:04.643686,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:02:04.643686,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:02:05.359677,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:02:05.359677,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:02:05.359677,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:02:05.359677,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:02:05.359677,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:04:27.571254,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:04:27.571254,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:04:27.571254,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:04:27.571254,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:04:27.571254,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:04:27.571254,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:04:27.571254,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:04:27.571254,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:04:28.949652,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:04:28.949652,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:04:28.949652,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:04:28.949652,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:04:28.949652,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:07:04.262431,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:07:04.262431,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:07:04.262431,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:07:04.262431,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:07:04.262431,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:07:04.262431,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:07:04.262431,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:07:04.262431,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:07:04.957955,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:07:04.957955,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:07:04.957955,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:07:04.957955,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:07:04.957955,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:11:49.376780,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:11:49.376780,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:11:49.376780,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:11:49.376780,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:11:49.376780,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:11:49.376780,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:11:49.376780,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:11:49.376780,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:11:50.054096,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:11:50.054096,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:11:50.054096,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:11:50.054096,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:11:50.054096,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:14:42.395811,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
2026-07-30 15:14:42.395811,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,DummyJSON
2026-07-30 15:14:42.395811,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,DummyJSON
2026-07-30 15:14:42.395811,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,DummyJSON
2026-07-30 15:14:42.395811,iPhone 5s,smartphones,Apple,199.99,2.83,25,DummyJSON
2026-07-30 15:14:42.395811,iPhone 6,smartphones,Apple,299.99,3.41,60,DummyJSON
2026-07-30 15:14:42.395811,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,DummyJSON
2026-07-30 15:14:42.395811,iPhone X,smartphones,Apple,899.99,2.51,37,DummyJSON
2026-07-30 15:14:43.316996,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,DummyJSON
2026-07-30 15:14:43.316996,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,DummyJSON
2026-07-30 15:14:43.316996,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,DummyJSON
2026-07-30 15:14:43.316996,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,DummyJSON
2026-07-30 15:14:43.316996,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,DummyJSON
2026-07-30 15:19:31.863427,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,DummyJSON
